,name,city,state,twitter_handle
339,Vine Tavern & Eatery,Tempe,AZ,VineIowaCity
340,P.F. Chang's,Tempe,AZ,PFChangs
341,Goodman Fabrications,Tempe,AZ,GoodmanFabricat
342,LongHorn Steakhouse,Pittsburgh,PA,LongHornSteaks
343,Wells Fargo Bank,Las Vegas,NV,WellsFargo
344,A.R Building,Pittsburgh,PA,dteyssou
345,Jason's Deli,Las Vegas,NV,jasonsdeli
346,Susan Paul Hair,Phoenix,AZ,SusanPaulHair
347,BBV Powersports,Las Vegas,NV,BBVPOWERSPORTLV
348,Fox Rent A Car,Phoenix,AZ,foxrentcar
349,Lootique,Henderson,NV,Lootique
350,Rosati's,Henderson,NV,Rosatis_Pizza
351,La Mojarra Loca,Las Vegas,NV,lamojarraloca
352,Technology Repair,Tempe,AZ,dtowntech
353,Puls,Tempe,AZ,puls4
354,Homeopathy Heals,Tempe,AZ,HomHeals
355,Fireside Inn,Pittsburgh,PA,FiresideInnAub
356,Advance Auto Repair,Mesa,AZ,AdvanceAutoRepa
357,Sportsman's Warehouse,Phoenix,AZ,SportsmansNews1
358,Famous Footwear,Phoenix,AZ,FamousFootwear
359,Cageless Grooming,Phoenix,AZ,CagelessArizona
360,Jiffy Lube,Phoenix,AZ,jiffylube
361,The UPS Store,Pittsburgh,PA,TheUPSStore
362,Pizza Romano,Pittsburgh,PA,PapaRomanos1
363,Wahoo's Fish Tacos,Las Vegas,NV,WahoosColorado
364,Top Nail,Pittsburgh,PA,2lsquared
365,ET smoke shop,Las Vegas,NV,et_smoke
366,Alliance Bank,Phoenix,AZ,PHLCultureJobs
367,The Bagel Factory,Pittsburgh,PA,MyBagelFactory
368,Bekins Moving Solutions,Phoenix,AZ,myBekins
369,Crockett Honey Co,Tempe,AZ,CrockettHoneyCo
370,Putter's Bar & Grill,Las Vegas,NV,CheyennePutters
371,Crystal Blue Pools,Gilbert,AZ,CrystalBluePool
372,Punta Cana,Charlotte,NC,HRHPuntaCana
373,Sam Ash Music Stores,Charlotte,NC,SamAshLA
374,Citgo,Charlotte,NC,CITGO
375,Canyon Lands Insurance,Mesa,AZ,DawnyelSmink
376,Alpine Cleaners,Charlotte,NC,TimothyMcAlpine
377,Ace Of Steaks,Las Vegas,NV,AceOfSteaksLV
378,Mountain View Community Center,Phoenix,AZ,KMVT15_MV
379,Barnes & Noble Booksellers,Mesa,AZ,bnbirdcage
